Organisation type,Purpose,Solution
RESEARCH & DEVELOPMENT(R&D),Study Metobolism,Phosphorus-33
MEDICAL,Cancer,Radium-233
INDUSTRY,Detect Soil type,Californium-252
FUEL,Propulsion Fuel,Sodiun-24
RESEARCH & DEVELOPMENT(R&D),Tumors,Carbon-14
RESEARCH & DEVELOPMENT(R&D),Study Genetics,Phosphorus-32
RESEARCH & DEVELOPMENT(R&D),Life Science,Tritium-3
INDUSTRY,Boilers,Iridium-192
INDUSTRY,Air Crafts,Iridium-192
MEDICAL,Hearth-Tissues,Thallium-201
MEDICAL,Radio therapy,Cobalt-60
FUEL,Nuclear Power Plant,Uranium-235
FUEL,Propulsion Fuel,Sodiun-24
RESEARCH & DEVELOPMENT(R&D),Study Metobolism,Phosphorus-33
MEDICAL,Cancer,Radium-233
INDUSTRY,Detect Soil type,Californium-252
FUEL,Propulsion Fuel,Sodiun-24
RESEARCH & DEVELOPMENT(R&D),Tumors,Carbon-14
RESEARCH & DEVELOPMENT(R&D),Study Genetics,Phosphorus-32
RESEARCH & DEVELOPMENT(R&D),Life Science,Tritium-3
INDUSTRY,Boilers,Iridium-192
INDUSTRY,Air ,Iridium-192
MEDICAL,Hearth-Tissues,Thallium-201
MEDICAL,Radio therapy,Cobalt-60
FUEL,Nuclear Power Plant,Uranium-235
FUEL,Propulsion Fuel,Sodiun-24
RESEARCH & DEVELOPMENT(R&D),Tumors,Carbon-14
RESEARCH & DEVELOPMENT(R&D),Study Genetics,Phosphorus-32
RESEARCH & DEVELOPMENT(R&D),Life Science,Tritium-3
INDUSTRY,Boilers,Iridium-192
INDUSTRY,Air ,Iridium-192
MEDICAL,Hearth-Tissues,Thallium-201
MEDICAL,Radio therapy,Cobalt-60
FUEL,Nuclear Power Plant,Uranium-235
FUEL,Propulsion Fuel,Sodiun-24
RESEARCH & DEVELOPMENT(R&D),Study Metobolism,Phosphorus-33
MEDICAL,Cancer,Radium-233
INDUSTRY,Detect Soil type,Californium-252
FUEL,Propulsion Fuel,Sodiun-24
RESEARCH & DEVELOPMENT(R&D),Tumors,Carbon-14
RESEARCH & DEVELOPMENT(R&D),Study Genetics,Phosphorus-32
RESEARCH & DEVELOPMENT(R&D),Life Science,Tritium-3
RESEARCH & DEVELOPMENT(R&D),Tumors,Carbon-14
RESEARCH & DEVELOPMENT(R&D),Study Genetics,Phosphorus-32
RESEARCH & DEVELOPMENT(R&D),Life Science,Tritium-3
INDUSTRY,Boilers,Iridium-192
INDUSTRY,Air ,Iridium-192
MEDICAL,Hearth-Tissues,Thallium-201
MEDICAL,Radio therapy,Cobalt-60
FUEL,Nuclear Power Plant,Uranium-235
FUEL,Propulsion Fuel,Sodiun-24
RESEARCH & DEVELOPMENT(R&D),Tumors,Carbon-14
RESEARCH & DEVELOPMENT(R&D),Study Genetics,Phosphorus-32
RESEARCH & DEVELOPMENT(R&D),Life Science,Tritium-3
INDUSTRY,Boilers,Iridium-192
INDUSTRY,Air ,Iridium-192
MEDICAL,Hearth-Tissues,Thallium-201
MEDICAL,Radio therapy,Cobalt-60
FUEL,Nuclear Power Plant,Uranium-235
FUEL,Propulsion Fuel,Sodiun-24
RESEARCH & DEVELOPMENT(R&D),Study Metobolism,Phosphorus-33
MEDICAL,Cancer,Radium-233
INDUSTRY,Detect Soil type,Californium-252
FUEL,Propulsion Fuel,Sodiun-24
RESEARCH & DEVELOPMENT(R&D),Tumors,Carbon-14
RESEARCH & DEVELOPMENT(R&D),Study Genetics,Phosphorus-32
RESEARCH & DEVELOPMENT(R&D),Life Science,Tritium-3
